customer_id,signup_date,signup_cohort,acquisition_channel,plan_type,monthly_charge_inr,payment_method,avg_sessions_per_month,support_tickets_per_month,tenure_months,churned,churn_date,last_active_date
CUST00001,2024-11-19,2024-11,Paid Ads,Basic,299,Net Banking,4.1,0,6,True,2025-05-19,2025-05-19
CUST00002,2025-12-25,2025-12,Referral,Standard,599,UPI,8.6,1,6,False,,2026-06-21
CUST00003,2025-07-05,2025-07,Organic,Premium,999,Debit Card,6.7,0,1,True,2025-08-05,2025-08-05
CUST00004,2025-05-08,2025-05,Paid Ads,Basic,299,UPI,10.0,0,5,True,2025-10-08,2025-10-08
CUST00005,2024-05-07,2024-05,Paid Ads,Basic,299,Debit Card,12.6,0,25,False,,2026-06-21
CUST00006,2024-05-14,2024-05,Organic,Standard,599,Credit Card,6.7,0,4,True,2024-09-14,2024-09-14
CUST00007,2024-02-24,2024-02,Referral,Standard,599,Net Banking,7.1,0,28,False,,2026-06-21
CUST00008,2025-10-23,2025-10,Referral,Premium,999,Credit Card,14.5,0,5,True,2026-03-23,2026-03-23
CUST00009,2025-05-03,2025-05,Referral,Basic,299,UPI,8.7,0,11,True,2026-04-03,2026-04-03
CUST00010,2025-07-18,2025-07,Referral,Premium,999,Credit Card,18.0,1,1,True,2025-08-18,2025-08-18
CUST00011,2024-01-16,2024-01,Referral,Basic,299,UPI,5.1,1,12,True,2025-01-16,2025-01-16
CUST00012,2025-12-23,2025-12,Organic,Basic,299,Debit Card,5.5,0,6,False,,2026-06-21
CUST00013,2025-09-19,2025-09,Referral,Premium,999,Debit Card,12.2,0,9,False,,2026-06-21
CUST00014,2024-07-19,2024-07,Organic,Standard,599,Credit Card,6.3,1,13,True,2025-08-19,2025-08-19
CUST00015,2024-06-18,2024-06,Organic,Standard,599,Debit Card,9.1,0,24,False,,2026-06-21
CUST00016,2024-06-20,2024-06,Organic,Standard,599,UPI,6.3,0,1,True,2024-07-20,2024-07-20
CUST00017,2024-10-16,2024-10,Referral,Standard,599,Credit Card,12.5,0,14,True,2025-12-16,2025-12-16
CUST00018,2025-03-08,2025-03,Referral,Basic,299,UPI,4.7,1,15,False,,2026-06-21
CUST00019,2025-01-28,2025-01,Organic,Standard,599,Credit Card,11.5,1,1,True,2025-02-28,2025-02-28
CUST00020,2024-09-01,2024-09,Referral,Basic,299,UPI,19.6,1,21,False,,2026-06-21
CUST00021,2025-05-17,2025-05,Partner,Premium,999,Debit Card,15.6,0,13,False,,2026-06-21
CUST00022,2024-05-12,2024-05,Organic,Premium,999,UPI,14.1,1,25,False,,2026-06-21
CUST00023,2024-09-21,2024-09,Organic,Basic,299,Credit Card,3.6,0,1,True,2024-10-21,2024-10-21
CUST00024,2024-11-11,2024-11,Referral,Basic,299,UPI,18.8,1,19,False,,2026-06-21
CUST00025,2025-01-05,2025-01,Organic,Basic,299,Debit Card,15.9,0,17,False,,2026-06-21
CUST00026,2025-08-27,2025-08,Paid Ads,Basic,299,UPI,7.4,0,1,True,2025-09-27,2025-09-27
CUST00027,2024-07-12,2024-07,Organic,Premium,999,Credit Card,11.5,0,4,True,2024-11-12,2024-11-12
CUST00028,2025-03-17,2025-03,Paid Ads,Basic,299,UPI,5.0,0,15,False,,2026-06-21
CUST00029,2025-04-06,2025-04,Referral,Basic,299,Debit Card,23.9,0,14,False,,2026-06-21
CUST00030,2024-02-01,2024-02,Paid Ads,Premium,999,UPI,18.1,0,28,False,,2026-06-21
CUST00031,2025-05-05,2025-05,Referral,Premium,999,Debit Card,10.2,0,13,False,,2026-06-21
CUST00032,2024-06-25,2024-06,Referral,Standard,599,UPI,17.8,0,24,False,,2026-06-21
CUST00033,2024-03-28,2024-03,Referral,Standard,599,Debit Card,20.2,0,27,False,,2026-06-21
CUST00034,2025-12-14,2025-12,Paid Ads,Standard,599,UPI,10.1,0,2,True,2026-02-14,2026-02-14
CUST00035,2025-12-05,2025-12,Organic,Premium,999,UPI,11.6,1,6,False,,2026-06-21
CUST00036,2025-09-22,2025-09,Paid Ads,Standard,599,Credit Card,6.5,1,2,True,2025-11-22,2025-11-22
CUST00037,2024-10-24,2024-10,Organic,Standard,599,UPI,14.5,0,20,False,,2026-06-21
CUST00038,2024-04-27,2024-04,Referral,Basic,299,UPI,6.3,1,5,True,2024-09-27,2024-09-27
CUST00039,2025-06-01,2025-06,Organic,Basic,299,Net Banking,6.2,0,12,False,,2026-06-21
CUST00040,2025-01-18,2025-01,Paid Ads,Standard,599,Net Banking,10.1,0,17,False,,2026-06-21
